06/03/2021 Saturday 01:57:53 | INFO | app.log | server started on port 3000 - env development | 
06/03/2021 Saturday 08:48:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 08:48:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 09:03:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 09:03:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 09:16:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 09:16:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 09:38:48 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 09:38:48 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 09:46:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 09:46:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 10:11:50 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 10:11:50 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 10:32:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 10:32:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 10:45:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 10:45:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 11:06:48 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 11:06:48 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 11:24:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 11:24:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 11:57:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 11:57:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 12:27:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 12:27:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 12:48:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 12:48:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 13:07:58 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 13:07:58 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 13:26:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 13:26:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 13:58:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 13:58:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 14:16:57 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 14:16:57 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 14:35:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 14:35:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 14:44:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 14:44:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 15:06:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 15:06:49 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 15:22:50 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 15:22:50 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 15:41:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 15:41:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 16:12:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 16:12:56 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 16:30:57 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 16:30:57 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 16:58:55 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 16:58:55 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
06/03/2021 Saturday 23:43:55 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
06/03/2021 Saturday 23:43:55 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
